|                      Task                       |Version| Metric |Value |   |Stderr|
|-------------------------------------------------|------:|--------|-----:|---|-----:|
|hendrycksTest-abstract_algebra                   |      1|acc     |0.2300|±  |0.0423|
|                                                 |       |acc_norm|0.2300|±  |0.0423|
|hendrycksTest-anatomy                            |      1|acc     |0.2519|±  |0.0375|
|                                                 |       |acc_norm|0.2519|±  |0.0375|
|hendrycksTest-astronomy                          |      1|acc     |0.2697|±  |0.0361|
|                                                 |       |acc_norm|0.2697|±  |0.0361|
|hendrycksTest-business_ethics                    |      1|acc     |0.1600|±  |0.0368|
|                                                 |       |acc_norm|0.1600|±  |0.0368|
|hendrycksTest-clinical_knowledge                 |      1|acc     |0.2943|±  |0.0280|
|                                                 |       |acc_norm|0.2943|±  |0.0280|
|hendrycksTest-college_biology                    |      1|acc     |0.2917|±  |0.0380|
|                                                 |       |acc_norm|0.2917|±  |0.0380|
|hendrycksTest-college_chemistry                  |      1|acc     |0.3300|±  |0.0473|
|                                                 |       |acc_norm|0.3300|±  |0.0473|
|hendrycksTest-college_computer_science           |      1|acc     |0.3400|±  |0.0476|
|                                                 |       |acc_norm|0.3400|±  |0.0476|
|hendrycksTest-college_mathematics                |      1|acc     |0.3100|±  |0.0465|
|                                                 |       |acc_norm|0.3100|±  |0.0465|
|hendrycksTest-college_medicine                   |      1|acc     |0.3699|±  |0.0368|
|                                                 |       |acc_norm|0.3699|±  |0.0368|
|hendrycksTest-college_physics                    |      1|acc     |0.2647|±  |0.0439|
|                                                 |       |acc_norm|0.2647|±  |0.0439|
|hendrycksTest-computer_security                  |      1|acc     |0.1900|±  |0.0394|
|                                                 |       |acc_norm|0.1900|±  |0.0394|
|hendrycksTest-conceptual_physics                 |      1|acc     |0.2809|±  |0.0294|
|                                                 |       |acc_norm|0.2809|±  |0.0294|
|hendrycksTest-econometrics                       |      1|acc     |0.2544|±  |0.0410|
|                                                 |       |acc_norm|0.2544|±  |0.0410|
|hendrycksTest-electrical_engineering             |      1|acc     |0.2552|±  |0.0363|
|                                                 |       |acc_norm|0.2552|±  |0.0363|
|hendrycksTest-elementary_mathematics             |      1|acc     |0.2646|±  |0.0227|
|                                                 |       |acc_norm|0.2646|±  |0.0227|
|hendrycksTest-formal_logic                       |      1|acc     |0.2460|±  |0.0385|
|                                                 |       |acc_norm|0.2460|±  |0.0385|
|hendrycksTest-global_facts                       |      1|acc     |0.3000|±  |0.0461|
